"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2287","Robbery","100  Remington Av","7/28/2016",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"2290","Aggravated assault","200  Fillmore Av","7/27/2016",200,"FILLMORE AVE","200  FILLMORE AV ",-76.139853285852,43.0098745465669
"2291","Aggravated assault","200  Wall St","7/27/2016",200,"WALL ST","200  WALL ST ",-76.1730099442136,43.0502158055642
"2292","Aggravated assault","400  James St","7/27/2016",400,"JAMES ST","400  JAMES ST ",-76.1483616340809,43.0524150512665
"2293","Aggravated assault","600  Gifford St","7/27/2016",600,"GIFFORD ST","600  GIFFORD ST ",-76.166825058728,43.0430418165634
"2294","Burglary","100  Argonne Dr","7/27/2016",100,"ARGONNE DR","100  ARGONNE DR ",-76.1797948186017,43.0269162568044
"2295","Burglary","100  Charmouth Dr","7/27/2016",100,"CHARMOUTH DR","100  CHARMOUTH DR ",-76.1626661075938,43.0212967367573
"2296","Burglary","100  Lakeview Av","7/27/2016",100,"LAKEVIEW AVE","100  LAKEVIEW AV ",-76.1742549152954,43.0493270119451
"2297","Burglary","100  N  Wilbur Av","7/27/2016",100,"N WILBUR AVE","100  N  WILBUR AV ",-76.1801884528723,43.0485814928274
"2298","Burglary","1100  Madison St","7/27/2016",1100,"MADISON ST","1100  MADISON ST ",-76.1306291736675,43.0453176031568
"2299","Larceny","0  Destiny Usa Dr","7/27/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2300","Larceny","0  Destiny Usa Dr","7/27/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2301","Larceny","0  Destiny Usa Dr","7/27/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2303","Larceny","100  Polk St","7/27/2016",100,"POLK ST","100  POLK ST ",-76.0941490530953,43.053572770523
"2304","Larceny","200  Comstock Av","7/27/2016",200,"COMSTOCK AVE","200  COMSTOCK AV ",-76.1306291736675,43.0453176031568
"2305","Larceny","200  Ostrom Av","7/27/2016",200,"OSTROM AVE","200  OSTROM AV ",-76.1290068708881,43.0453015794004
